Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15238273,2,"Tuesday, October 30, 2012 08:38:04 UTC",35.8210,-117.6648,1.0,2.30,21,"Central California"
us,b000dh92,8,"Tuesday, October 30, 2012 08:09:26 UTC",36.6623,26.5080,4.2,157.00,33,"Dodecanese Islands, Greece"
nc,71871745,0,"Tuesday, October 30, 2012 08:09:06 UTC",36.5990,-121.2110,1.9,8.30,14,"Central California"
nc,71871740,5,"Tuesday, October 30, 2012 08:01:00 UTC",36.6037,-121.2118,2.9,8.70,82,"Central California"
pr,12304004,0,"Tuesday, October 30, 2012 07:57:38 UTC",19.5580,-65.2707,3.1,7.00, 5,"Puerto Rico region"
ci,15238249,2,"Tuesday, October 30, 2012 07:55:17 UTC",36.1005,-117.8710,1.0,5.80,15,"Central California"
pr,12304003,0,"Tuesday, October 30, 2012 07:45:30 UTC",19.4062,-65.2758,3.3,57.00, 5,"Puerto Rico region"
ci,15238241,2,"Tuesday, October 30, 2012 07:43:24 UTC",32.2458,-115.2638,1.9,19.80,11,"Baja California, Mexico"
hv,60423741,2,"Tuesday, October 30, 2012 07:41:43 UTC",19.3857,-155.2460,2.1,3.40,19,"Island of Hawaii, Hawaii"
pr,12304001,0,"Tuesday, October 30, 2012 07:34:59 UTC",19.2478,-64.1149,3.2,93.00, 4,"Virgin Islands region"
nc,71871725,4,"Tuesday, October 30, 2012 07:29:00 UTC",34.6570,-121.3065,2.6,11.30,53,"offshore Central California"
us,b000dh8b,6,"Tuesday, October 30, 2012 07:12:35 UTC",-17.9166,-178.5917,4.9,560.70,336,"Fiji region"
us,b000dh88,7,"Tuesday, October 30, 2012 07:12:29 UTC",-4.6151,151.8636,5.2,156.70,124,"New Britain region, Papua New Guinea"
hv,60410822,2,"Tuesday, October 30, 2012 07:10:30 UTC",19.3897,-155.2520,2.1,3.40,16,"Island of Hawaii, Hawaii"
nc,71871715,0,"Tuesday, October 30, 2012 07:05:01 UTC",36.3893,-120.8983,1.4,18.90, 7,"Central California"
nc,71871710,3,"Tuesday, October 30, 2012 06:59:52 UTC",36.0362,-120.6033,1.7,1.20,54,"Central California"
ak,10590088,1,"Tuesday, October 30, 2012 06:55:44 UTC",63.2287,-152.0035,1.1,30.50, 5,"Central Alaska"
nc,71871700,3,"Tuesday, October 30, 2012 06:37:23 UTC",38.7882,-122.7493,2.1,3.90,92,"Northern California"
nc,71871695,1,"Tuesday, October 30, 2012 06:35:03 UTC",38.8373,-122.8268,1.6,2.50,29,"Northern California"
ak,10590075,1,"Tuesday, October 30, 2012 06:30:19 UTC",60.6371,-151.1545,2.7,18.80,34,"Kenai Peninsula, Alaska"
nc,71871690,2,"Tuesday, October 30, 2012 06:13:40 UTC",36.4588,-121.0405,1.8,5.00,43,"Central California"
nc,71871685,3,"Tuesday, October 30, 2012 06:09:18 UTC",36.4595,-121.0378,2.7,6.50,73,"Central California"
nc,71871680,0,"Tuesday, October 30, 2012 06:05:43 UTC",37.5222,-118.8218,1.5,3.90,19,"Central California"
ak,10590068,2,"Tuesday, October 30, 2012 06:00:49 UTC",60.4677,-151.4136,1.5,57.20, 9,"Kenai Peninsula, Alaska"
nc,71871670,1,"Tuesday, October 30, 2012 05:56:21 UTC",38.7902,-122.7295,1.8,2.20,29,"Northern California"
hv,60410772,1,"Tuesday, October 30, 2012 05:54:29 UTC",19.3198,-155.4717,1.9,7.50,25,"Island of Hawaii, Hawaii"
ak,10590050,1,"Tuesday, October 30, 2012 05:50:13 UTC",62.8321,-149.5134,2.9,0.00,49,"Central Alaska"
nc,71871665,1,"Tuesday, October 30, 2012 05:50:11 UTC",36.3105,-120.8540,1.9,7.60,21,"Central California"
hv,60410767,2,"Tuesday, October 30, 2012 05:44:29 UTC",19.3960,-155.2643,2.0,3.40,14,"Island of Hawaii, Hawaii"
nc,71871660,0,"Tuesday, October 30, 2012 05:40:45 UTC",36.6033,-121.2127,1.7,8.70, 9,"Central California"
ak,10590044,1,"Tuesday, October 30, 2012 05:40:34 UTC",61.1810,-152.8222,2.3,9.90, 8,"Southern Alaska"
us,b000dh6g,5,"Tuesday, October 30, 2012 05:22:17 UTC",-23.0010,-69.7080,4.4,75.70,37,"Antofagasta, Chile"
ak,10590039,1,"Tuesday, October 30, 2012 05:18:46 UTC",61.2233,-152.3777,2.0,0.00, 7,"Southern Alaska"
uu,60003262,4,"Tuesday, October 30, 2012 05:12:45 UTC",39.4052,-111.0743,1.4,1.60, 9,"Utah"
nc,71871640,0,"Tuesday, October 30, 2012 04:57:18 UTC",36.5945,-121.2050,1.9,7.50,13,"Central California"
nc,71871635,0,"Tuesday, October 30, 2012 04:51:06 UTC",38.8237,-122.8128,1.0,3.50,13,"Northern California"
nc,71871630,2,"Tuesday, October 30, 2012 04:43:15 UTC",39.3370,-122.8888,1.3,17.60, 5,"Northern California"
us,b000dh61,7,"Tuesday, October 30, 2012 04:40:15 UTC",52.1697,-131.6040,4.7,10.20,320,"Queen Charlotte Islands, Canada region"
